schema	task	attempt	queued	landed	outcome	tier	model	milestone	pr	cost_usd	turns	questions	question_wait_h	redirects	redirects_wrong	reworks	findings	findings_fixed	verdict_ref	probe	env	provenance	note
1	0001-flake-eval-gate	1	2026-08-14	2026-08-14	merged	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0002-private-layer-slot	1	2026-08-14	2026-08-14	merged	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0003-findings	1	2026-08-15	2026-08-15	merged	-	-	-	8	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0003-first-install	1	2026-08-15	2026-08-15	merged	-	-	-	8	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0004-install-test-harness	1	2026-08-15	2026-08-15	merged	-	-	-	6	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0005-dogfooding-desktop	1	2026-08-15	2026-08-15	merged	-	-	-	15	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0006-installer-image	1	2026-08-15	2026-08-15	merged	-	-	-	12	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0007-vm-harness-cleanups	1	2026-08-15	2026-08-16	merged	-	-	-	21	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0008-agent-layer-skeleton	1	2026-08-16	2026-08-16	merged	-	-	-	22	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0009-ambient-intake	1	2026-08-16	2026-08-16	merged	-	-	-	22	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0010-correction-record	1	2026-08-16	2026-08-16	merged	-	-	-	26	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0011-desktop-loop-harness	1	2026-08-16	2026-08-16	merged	-	-	-	35	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0012-installer-escape-hatch	1	2026-08-16	2026-08-17	merged	-	-	-	38	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0013-first-deploy-findings	1	2026-08-17	2026-08-17	merged	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0014-default-wallpaper	1	2026-08-17	2026-08-17	merged	-	-	-	36	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0015-filed-not-in-progress	1	2026-08-17	2026-08-17	merged	-	-	-	40	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0016-installer-network-predicate	1	2026-08-17	2026-08-17	merged	-	-	-	41	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0017-legible-defaults	1	2026-08-17	2026-08-17	merged	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0018-docs-only-ci-skip	1	2026-08-17	2026-08-18	merged	-	-	-	46	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0019-sway-initial-workspace-and-modal-chord	1	2026-08-17	2026-08-18	merged	-	-	-	47	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0020-laptop-ergonomics	1	2026-08-17	2026-08-18	merged	-	-	-	48	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0021-auto-dispatch	1	2026-08-18	2026-08-18	merged	-	-	-	49	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0022-answer-in-ui	1	2026-08-18	2026-08-18	merged	-	-	-	50	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0023-resume-cold	1	2026-08-18	2026-08-19	merged	-	-	-	52	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0024-config-target	1	2026-08-19	2026-08-20	merged	-	-	-	55	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0025-approval	1	2026-08-20	2026-08-27	merged	-	-	-	58	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0026-apply-validate	1	2026-08-27	2026-08-31	merged	-	-	-	62	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0029-python3-on-dev-hosts	1	2026-08-19	2026-08-19	merged	-	-	-	54	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0030-state-outside-the-flake	1	2026-08-20	2026-08-20	merged	-	-	-	56	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0031-secrets-tooling	1	2026-08-20	2026-08-20	merged	-	-	-	57	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0032-password-hash	1	2026-08-20	2026-08-27	merged	-	-	-	59	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0033-byte-exact-proposal	1	2026-08-27	2026-08-31	merged	-	-	-	61	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0034-inbox-modal	1	2026-08-31	2026-09-02	merged	-	-	-	63	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0035-boot-fallback-dedup	1	2026-09-02	2026-09-02	merged	-	-	-	65	12.48	2	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0036-reminder-banner-states	1	2026-09-02	2026-09-02	merged	-	-	-	66	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0037-mit-license	1	2026-09-02	2026-09-02	merged	-	-	-	67	1.15	16	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0038-default-action-key	1	2026-09-02	2026-09-02	merged	-	-	-	69	-	-	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0039-worker-writable-deliverables	1	2026-09-02	2026-09-02	merged	-	claude-opus-5	-	71	7.17	88	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0040-validate-stray-state-directory	1	2026-09-02	2026-09-02	merged	-	claude-sonnet-5	-	72	6.02	106	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0041-ci-transient-retries	1	2026-09-02	2026-09-02	merged	-	claude-sonnet-5	-	73	10.16	122	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0042-finding-outbox	1	2026-09-02	2026-09-03	merged	-	claude-opus-5	-	76	12.89	107	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0043-worker-contract-revision	1	2026-09-03	2026-09-03	merged	-	claude-opus-5	-	81	4.02	49	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0044-mechanism-findings-not-proposals	1	2026-09-03	2026-09-04	merged	-	claude-opus-5	-	83	16.74	1	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0045-codex-followup-receipts	1	2026-09-03	2026-09-03	merged	-	claude-sonnet-5	-	78	11.96	24	-	-	-	-	-	-	-	-	-	-	backfilled	-
1	0046-record-ordering-helper	1	2026-09-03	2026-09-03	merged	-	claude-opus-5	-	79	8.17	55	-	-	-	-	-	-	-	-	-	-	backfilled	-
